Timestamp, AgeGroup,Gender,YearsExperience,Discipline,PolicyAwareness_NG,PolicyAwareness_NG_Code,PolicyAwareness_Global,PolicyAwareness_Global_Code,OrgAdoption,OrgAdoption_Code,PersonalAdoption,PersonalAdoption_Code,Sustainable_pratice_implemented,Adopt_Waste,Adopt_Water,Adopt_Energy,Adopt_GreenInfra,Adopt_ClimateDesign,AdoptionScore,Infrastructure_reliability,Infra_Water,Infra_Electricity,Infra_Waste,Infra_Sewer,Infra_Internet,InfraIndex,Critical_gaps,balanced_state,Region,ClimatePolicy_Familiarity,ClimatePolicy_Familiarity_Code,Paris_Target_Achievability,Paris_Target_Achievability_Code,observed_urban_changes ,Change_Flooding,Change_LandUse,Change_UrbanSprawl,Change_Temperature,Change_InformalSettlement,ChangeScore,Perceived_Professional_Impact_on_SUD,Perceived_Professional_Impact_on_SUD_code,Key_Contribution_Areas,Contrib_Waste,Contrib_Water,Contrib_Energy,Contrib_GreenInfra,Contrib_ClimateDesign,ContributionScore,Column 51,Column 52
2025-07-15 03:09:42,25 - 34,Male,3 - 5 years,Architect,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",0,0,1,0,0,1,Clean water supply,1,0,0,0,0,1,"Poor implementation by institutions, Lack of awareness about sustainability policies, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability",Abuja,North Central,Somewhat familiar,1,"No, achieving these goals seems unlikely under current circumstances",1,"Increased flooding, Land-use change",1,1,0,0,0,2,To a great extent,2,Energy Efficiency,0,0,1,0,0,1,,
2025-07-15 06:49:57,25 - 34,Male,6 - 10 years,Architect,Not familiar,0,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Water conservation methods (e.g., rainwater harvesting, low-flow systems), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",0,1,0,1,0,2,Clean water supply,1,0,0,0,0,1,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Low government support for sustainability, Limited knowledge about renewable energy solutions",Abuja,North Central,Not familiar,0,"Yes, but only with significant efforts and external support",3,"Increased flooding, Rising temperatures, Informal settlement expansion",1,0,0,1,1,3,To a moderate extent,1,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-07-15 09:55:42,25 - 34,Male,0 -2 years,Architect,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",1,0,1,1,0,3,"Clean water supply, Electricity",1,1,0,0,0,2,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts",Abuja,North Central,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Land-use change, Rising temperatures, Informal settlement expansion",0,1,0,1,1,3,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure",1,1,1,1,0,4,,
2025-07-15 23:25:56,25 - 34,Male,6 - 10 years,Engineers,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,1,1,0,0,3,"Clean water supply, Electricity, Sewerage/drainage",1,1,0,1,0,3,"Poor implementation by institutions, Lack of awareness about sustainability policies, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability",Abuja,North Central,Somewhat familiar,1,I am unsure or do not have enough information on the topic.,2,"Increased flooding, Informal settlement expansion",1,0,0,0,1,2,To a moderate extent,1,"Waste Management, Water Conservation, Energy Efficiency",1,1,1,0,0,3,,
2025-07-16 10:31:00,35 - 44,Male,11 - 20 years,Real Estate Professionals,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,1,1,0,0,3,"Clean water supply, Electricity, Sewerage/drainage",1,1,0,1,0,3,"Lack of awareness about sustainability policies, Not enough funding for green projects, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",calabar,South South,Somewhat familiar,1,"Yes, definitely achievable",4,"Increased flooding, Land-use change, Rising temperatures",1,1,0,1,0,3,To a moderate extent,1,"Waste Management, Water Conservation, Energy Efficiency",1,1,1,0,0,3,,
2025-07-16 19:54:44,25 - 34,Male,6 - 10 years,Project Managers,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,0,1,0,0,2,"Electricity, Internet access",0,1,0,0,1,2,"Poor implementation by institutions, Lack of awareness about sustainability policies, Unorganized infrastructure for water, waste, and energy, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts",Lagos,South West,Not familiar,0,I am unsure or do not have enough information on the topic.,2,"Urban sprawl, Rising temperatures, Informal settlement expansion",0,0,1,1,1,3,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure",1,1,1,1,0,4,,
2025-07-18 21:58:43,25 - 34,Male,3 - 5 years,Architect,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",1,1,1,1,0,4,"Clean water supply, Solid waste collection",1,0,1,0,0,2,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Abuja,North Central,Very familiar,2,"Yes, but only with significant efforts and external support",3,Increased flooding,1,0,0,0,0,1,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-07-29 07:57:12,35 - 44,Male,11 - 20 years,Quantity Surveyors,Very familiar,2,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,0,1,0,1,3,"Clean water supply, Electricity, Solid waste collection, Sewerage/drainage, Internet access",1,1,1,1,1,5,"Poor implementation by institutions, Lack of awareness about sustainability policies, Low government support for sustainability",Port-Harcourt,South South,Somewhat familiar,1,"No, achieving these goals seems unlikely under current circumstances",1,Urban sprawl,0,0,1,0,0,1,To a great extent,2,"Waste Management, Energy Efficiency, Green Infrastructure",1,0,1,1,0,3,,
2025-07-30 13:09:29,35 - 44,Male,11 - 20 years,Architect,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,1,1,1,1,5,"Clean water supply, Solid waste collection, Sewerage/drainage",1,0,1,1,0,3,"Poor implementation by institutions, Lack of awareness about sustainability policies, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions, Regional inequality in infrastructure or service delivery",Borno,North East,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Increased flooding, Land-use change, Urban sprawl, Rising temperatures",1,1,1,1,0,4,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-02 10:13:50,25 - 34,Male,6 - 10 years,Engineers,Very familiar,2,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,1,1,0,0,3,"Clean water supply, Electricity, Sewerage/drainage, Internet access",1,1,0,1,1,4,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Weak public involvement in sustainability efforts",Abuja,North Central,Very familiar,2,"No, achieving these goals seems unlikely under current circumstances",1,"Land-use change, Urban sprawl, Rising temperatures",0,1,1,1,0,3,To a moderate extent,1,"Waste Management, Water Conservation, Energy Efficiency, Climate-resilient Design",1,1,1,0,1,4,,
2025-08-02 13:46:23,25 - 34,Male,3 - 5 years,Architect,Very familiar,2,Somewhat familiar,1,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,1,1,1,1,5,"Clean water supply, Solid waste collection, Sewerage/drainage, Internet access",1,0,1,1,1,4,"Poor implementation by institutions, Lack of awareness about sustainability policies, Low government support for sustainability, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Abuja,North Central,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,Urban sprawl,0,0,1,0,0,1,To a great extent,2,Climate-resilient Design,0,0,0,0,1,1,,
2025-08-02 15:19:15,25 - 34,Male,3 - 5 years,Architect,Not familiar,0,"Yes, i am very familiar",2,"Yes, to some extent",1,"No, but I am interested in adopting sustainable practices.",1,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",0,0,1,0,1,2,"Clean water supply, Electricity, Solid waste collection, Internet access",1,1,1,0,1,4,"Lack of awareness about sustainability policies, Not enough funding for green projects, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts",Abuja,North Central,Not familiar,0,I am unsure or do not have enough information on the topic.,2,"Land-use change, Urban sprawl",0,1,1,0,0,2,To a great extent,2,"Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",0,1,1,1,1,4,,
2025-08-06 09:11:02,25 - 34,Male,6 - 10 years,Architect,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal)",1,0,0,0,0,1,Solid waste collection,0,0,1,0,0,1,Lack of awareness about sustainability policies,Cross River,South South,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,Increased flooding,1,0,0,0,0,1,To a moderate extent,1,Waste Management,1,0,0,0,0,1,,
2025-08-06 10:30:21,25 - 34,Male,0 -2 years,Architect,Very familiar,2,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,1,1,1,1,5,"Clean water supply, Electricity, Sewerage/drainage, Internet access",1,1,0,1,1,4,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Jos,North Central,Very familiar,2,"Yes, but only with significant efforts and external support",3,"Increased flooding, Land-use change, Rising temperatures, Informal settlement expansion",1,1,0,1,1,4,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-06 11:14:45,25 - 34,Male,11 - 20 years,Architect,Somewhat familiar,1,Not familiar,0,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal)",1,0,0,0,0,1,"Electricity, Sewerage/drainage",0,1,0,1,0,2,Poor implementation by institutions,Kano,North West,Somewhat familiar,1,I am unsure or do not have enough information on the topic.,2,Land-use change,0,1,0,0,0,1,To a moderate extent,1,"Waste Management, Energy Efficiency",1,0,1,0,0,2,,
2025-08-06 13:56:12,35 - 44,Male,11 - 20 years,Quantity Surveyors,Very familiar,2,Not familiar,0,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,0,1,0,1,3,"Clean water supply, Electricity, Solid waste collection, Internet access",1,1,1,0,1,4,"Poor implementation by institutions, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability",Port-Harcourt,South South,Very familiar,2,"Yes, but only with significant efforts and external support",3,"Urban sprawl, Rising temperatures",0,0,1,1,0,2,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-07 17:16:39,25 - 34,Male,11 - 20 years,Architect,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,0,1,0,0,2,Sewerage/drainage,0,0,0,1,0,1,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Limited knowledge about renewable energy solutions",Kano,North West,Somewhat familiar,1,"No, achieving these goals seems unlikely under current circumstances",1,Rising temperatures,0,0,0,1,0,1,To a great extent,2,Green Infrastructure,0,0,0,1,0,1,,
2025-08-07 19:49:16,55 and above,Male,11 - 20 years,Real Estate Professionals,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,0,1,0,0,2,"Clean water supply, Solid waste collection, Sewerage/drainage",1,0,1,1,0,3,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts",Lagos,South West,Somewhat familiar,1,"No, achieving these goals seems unlikely under current circumstances",1,"Increased flooding, Rising temperatures",1,0,0,1,0,2,To a small extent,0,"Waste Management, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,0,1,1,1,4,,
2025-08-10 19:34:28,35 - 44,Female,3 - 5 years,Environmental Professionals,Somewhat familiar,1,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,0,1,0,1,3,"Clean water supply, Solid waste collection, Sewerage/drainage",1,0,1,1,0,3,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Low government support for sustainability, Weak public involvement in sustainability efforts",Oshogbo,South West,Not familiar,0,"Yes, but only with significant efforts and external support",3,Informal settlement expansion,0,0,0,0,1,1,To a moderate extent,1,"Water Conservation, Energy Efficiency, Climate-resilient Design",0,1,1,0,1,3,,
2025-08-13 15:21:40,25 - 34,Male,6 - 10 years,Project Managers,Very familiar,2,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",1,1,1,1,0,4,"Clean water supply, Electricity, Solid waste collection, Sewerage/drainage",1,1,1,1,0,4,"Poor implementation by institutions, Low government support for sustainability, Regional inequality in infrastructure or service delivery",Port-Harcourt,South South,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Land-use change, Urban sprawl",0,1,1,0,0,2,To a great extent,2,"Water Conservation, Green Infrastructure, Climate-resilient Design",0,1,0,1,1,3,,
2025-08-18 22:57:59,25 - 34,Male,0 -2 years,Engineers,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",0,1,1,1,0,3,Solid waste collection,0,0,1,0,0,1,"Poor implementation by institutions, Lack of awareness about sustainability policies, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Abuja,North Central,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,Rising temperatures,0,0,0,1,0,1,To a great extent,2,"Waste Management, Water Conservation",1,1,0,0,0,2,,
2025-08-19 18:38:16,25 - 34,Female,3 - 5 years,Real Estate Professionals,Somewhat familiar,1,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,1,1,0,1,4,"Clean water supply, Electricity, Solid waste collection, Sewerage/drainage, Internet access",1,1,1,1,1,5,"Poor implementation by institutions, Lack of awareness about sustainability policies, Limited knowledge about renewable energy solutions",Lagos,South West,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Land-use change, Urban sprawl",0,1,1,0,0,2,To a great extent,2,"Waste Management, Energy Efficiency, Green Infrastructure",1,0,1,1,0,3,,
2025-08-19 20:47:54,25 - 34,Male,3 - 5 years,Real Estate Professionals,Very familiar,2,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,1,1,1,1,5,"Clean water supply, Electricity, Solid waste collection, Sewerage/drainage",1,1,1,1,0,4,"Lack of awareness about sustainability policies, Not enough funding for green projects, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Abuja,North Central,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Land-use change, Urban sprawl",0,1,1,0,0,2,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure",1,1,1,1,0,4,,
